name;url;Company;Company_url;Posted_Time;Posted_Time_url;Alter_Name;Alter_Name_url;Vacancy_Place;Salary;Education_Degree;Vacancy_Time;Vacancy_Id;Skills__name;
Baş PL/SQL Developer;https://busy.az/vacancy/122680/bas-plsql-developer;Ziraat Bank Azərbaycan;https://busy.az/vacancy/122680/bas-plsql-developer;bugün;https://busy.az/vacancy/122680/bas-plsql-developer;PL/SQL developer;https://busy.az/professions/plsql-developer;Bakı;Razılaşma yolu ilə;Ali (bakalavr);Tam ştat (full time);1;Oracle;
;;;;;;;;;;;;1;PL/SQL;
;;;;;;;;;;;;1;Oracle SQL;
;;;;;;;;;;;;1;programming;
;;;;;;;;;;;;1;proqramlaşdırma;
;;;;;;;;;;;;1;proqram təminatı;
;;;;;;;;;;;;1;software development;
;;;;;;;;;;;;1;JSON;
;;;;;;;;;;;;1;Microsoft Excel;
Java backend developer (Middle/Senior);https://busy.az/vacancy/122630/java-backend-developer-middlesenior;Express Bank;https://busy.az/vacancy/122630/java-backend-developer-middlesenior;2 gün əvvəl;https://busy.az/vacancy/122630/java-backend-developer-middlesenior;Java developer;https://busy.az/professions/java-developer;Bakı;16.03.2024;Razılaşma yolu ilə;Tam ştat (full time);2;Russian language;
;;;;;;;;;;;;2;rus dili;
;;;;;;;;;;;;2;English language;
;;;;;;;;;;;;2;ingilis dili;
;;;;;;;;;;;;2;JAVA;
;;;;;;;;;;;;2;OOP;
;;;;;;;;;;;;2;Oracle SQL;
;;;;;;;;;;;;2;programming;
;;;;;;;;;;;;2;proqramlaşdırma;
;;;;;;;;;;;;2;proqram təminatı;
;;;;;;;;;;;;2;software development;
Game Developer;https://busy.az/vacancy/122594/game-developer;Evo Coding Center;https://busy.az/vacancy/122594/game-developer;3 gün əvvəl;https://busy.az/vacancy/122594/game-developer;proqramçı;https://busy.az/professions/proqramci;Bakı;24;Ali;Tam ştat (full time);3;English language;
;;;;;;;;;;;;3;ingilis dili;
;;;;;;;;;;;;3;programming;
;;;;;;;;;;;;3;proqramlaşdırma;
;;;;;;;;;;;;3;proqram təminatı;
;;;;;;;;;;;;3;software development;
Devops - Baş mütəxəssis;https://busy.az/vacancy/122549/devops-bas-mutexessis;PASHA Life;https://busy.az/vacancy/122549/devops-bas-mutexessis;3 gün əvvəl;https://busy.az/vacancy/122549/devops-bas-mutexessis;proqramçı;https://busy.az/professions/proqramci;Bakı;Razılaşma yolu ilə;Ali (bakalavr);Tam ştat (full time);4;Python;
;;;;;;;;;;;;4;DNS;
;;;;;;;;;;;;4;DevOps;
;;;;;;;;;;;;4;HTTP;
;;;;;;;;;;;;4;programming;
;;;;;;;;;;;;4;proqramlaşdırma;
;;;;;;;;;;;;4;proqram təminatı;
Proqram təminatı şöbəsinə mütəxəssis (DevOps);https://busy.az/vacancy/122501/proqram-teminati-sobesine-mutexessis-devops;Bank Respublika ASC;https://busy.az/vacancy/122501/proqram-teminati-sobesine-mutexessis-devops;3 gün əvvəl;https://busy.az/vacancy/122501/proqram-teminati-sobesine-mutexessis-devops;программист;https://busy.az/professions/programmist;Bakı;Razılaşma yolu ilə;Ali;Tam ştat (full time);5;DevOps;
;;;;;;;;;;;;5;Python;
;;;;;;;;;;;;5;Linux;
;;;;;;;;;;;;5;PHP;
;;;;;;;;;;;;5;software development;
;;;;;;;;;;;;5;programming;
;;;;;;;;;;;;5;proqramlaşdırma;
;;;;;;;;;;;;5;proqram təminatı;
;;;;;;;;;;;;5;Russian language;
;;;;;;;;;;;;5;rus dili;
DevOps Engineer;https://busy.az/vacancy/122433/devops-engineer;Bestcomp Group;https://busy.az/vacancy/122433/devops-engineer;4 gün əvvəl;https://busy.az/vacancy/122433/devops-engineer;proqramçı;https://busy.az/professions/proqramci;Bakı;Razılaşma yolu ilə;Ali (bakalavr);Tam ştat (full time);6;DevOps;
;;;;;;;;;;;;6;documentation;
;;;;;;;;;;;;6;system administration;
;;;;;;;;;;;;6;Linux;
;;;;;;;;;;;;6;computer engineering;
;;;;;;;;;;;;6;proqramlaşdırma;
;;;;;;;;;;;;6;proqram təminatı;
PHP developer;https://busy.az/vacancy/122432/php-developer;Smartbee;https://busy.az/vacancy/122432/php-developer;bugün;https://busy.az/vacancy/122432/php-developer;web developer;https://busy.az/professions/web-developer;Bakı;22 - 40;Ali;Tam ştat (full time);7;PHP;
;;;;;;;;;;;;7;Laravel;
;;;;;;;;;;;;7;back-end development;
;;;;;;;;;;;;7;Linux;
;;;;;;;;;;;;7;GitHub;
;;;;;;;;;;;;7;Symfony;
;;;;;;;;;;;;7;OOP;
;;;;;;;;;;;;7;Kubernetes;
;;;;;;;;;;;;7;Mysql;
;;;;;;;;;;;;7;SQL;
Senior Backend Developer;https://busy.az/vacancy/122381/senior-backend-developer;Azerconnect;https://busy.az/vacancy/122381/senior-backend-developer;4 gün əvvəl;https://busy.az/vacancy/122381/senior-backend-developer;back-end developer;https://busy.az/professions/back-end-developer;Bakı;Razılaşma yolu ilə;Ali (bakalavr);Tam ştat (full time);8;OOP;
;;;;;;;;;;;;8;JAVA;
;;;;;;;;;;;;8;proqram təminatı;
;;;;;;;;;;;;8;Oracle;
;;;;;;;;;;;;8;SQL;
;;;;;;;;;;;;8;software development;
;;;;;;;;;;;;8;programming;
;;;;;;;;;;;;8;back-end development;
;;;;;;;;;;;;8;proqramlaşdırma;
